country,continent,population,day,Cases,Recovered,Deaths,Tests
Afghanistan,Asia,40754388,2024-06-30,234174,211080,7996,1390730
Albania,Europe,2866374,2024-06-30,334863,330233,3605,1941032
Algeria,Africa,45350148,2024-06-30,272010,183061,6881,230960
Andorra,Europe,77463,2024-06-30,48015,,165,249838
Angola,Africa,35027343,2024-06-30,107327,103419,1937,1499795
Anguilla,North-America,15230,2024-06-30,3904,,12,51382
Antigua-and-Barbuda,North-America,99509,2024-06-30,9106,8954,146,18901
Argentina,South-America,46010234,2024-06-30,10128845,9997258,130841,35716069
Armenia,Asia,2971966,2024-06-30,451831,435162,8777,3242901
Aruba,North-America,107609,2024-06-30,44224,42438,292,177885
Australia,Oceania,26068792,2024-06-30,11853144,11820014,24414,81916639
Austria,Europe,9066710,2024-06-30,6081287,6054934,22542,211273524
Azerbaijan,Asia,10300205,2024-06-30,835234,824089,10400,7748050
Bahamas,North-America,400516,2024-06-30,38084,36366,844,257839
Bahrain,Asia,1783983,2024-06-30,729549,727915,1574,10948549
Bangladesh,Asia,167885689,2024-06-30,2049377,,29493,15254399
Barbados,North-America,288023,2024-06-30,110578,108647,648,814159
Belarus,Europe,9432800,2024-06-30,994037,985592,7118,13646641
Belgium,Europe,11668278,2024-06-30,4861695,4826798,34376,37454182
Belize,North-America,412190,2024-06-30,71409,,688,576016
Benin,Africa,12784726,2024-06-30,28036,27847,163,604310
Bermuda,North-America,61939,2024-06-30,18860,18685,165,1029558
Bhutan,Asia,787941,2024-06-30,62697,61564,21,2303734
Bolivia,South-America,11992656,2024-06-30,1212131,1177145,22407,2710261
Bosnia-and-Herzegovina,Europe,3249317,2024-06-30,403615,379084,16388,1884721
Botswana,Africa,2441162,2024-06-30,330638,327049,2801,2026898
Brazil,South-America,215353593,2024-06-30,38743918,36249161,711380,63776166
British-Virgin-Islands,North-America,30596,2024-06-30,7392,,64,107339
Brunei,Asia,445431,2024-06-30,343719,243601,225,717784
Bulgaria,Europe,6844597,2024-06-30,1339851,1292944,38748,11671043
Burkina-Faso,Africa,22102838,2024-06-30,22114,21596,400,248995
Burundi,Africa,12624840,2024-06-30,54721,53569,38,345742
CAR,Africa,5016678,2024-06-30,15440,15200,113,81294
Cabo-Verde,Africa,567678,2024-06-30,64477,63755,417,401622
Cambodia,Asia,17168639,2024-06-30,139103,136044,3056,3091420
Cameroon,Africa,27911548,2024-06-30,125379,123280,1974,1751774
Canada,North-America,38388419,2024-06-30,4946090,4881312,59034,66572774
Caribbean-Netherlands,North-America,26647,2024-06-30,11682,10476,38,30126
Cayman-Islands,North-America,67277,2024-06-30,31472,8553,37,222773
Chad,Africa,17413580,2024-06-30,7701,4874,194,191341
Channel-Islands,Europe,176463,2024-06-30,101717,101321,228,1252808
Chile,South-America,19250195,2024-06-30,5384853,5252450,64497,50382097
China,Asia,1448471400,2024-06-30,503302,379053,5272,160000000
Colombia,South-America,51512762,2024-06-30,6400173,6212152,143200,36951507
Comoros,Africa,907419,2024-06-30,9109,8939,161,
Congo,Africa,5797805,2024-06-30,25375,24006,386,347815
Cook-Islands,Oceania,17571,2024-06-30,7203,7150,2,19690
Costa-Rica,North-America,5182354,2024-06-30,1238883,,9428,4659757
Croatia,Europe,4059286,2024-06-30,1309728,1258432,18687,5660084
Cuba,North-America,11305652,2024-06-30,1115251,1106660,8530,14402674
Cura&ccedil;ao,North-America,165529,2024-06-30,45986,44720,295,496693
Cyprus,Asia,1223387,2024-06-30,681110,679745,1365,9640118
Czechia,Europe,10736784,2024-06-30,4759041,4715206,43517,57834241
DPRK,Asia,25990679,2024-06-30,4772813,4772739,74,
DRC,Africa,95240792,2024-06-30,99338,84489,1468,846704
Denmark,Europe,5834950,2024-06-30,3183756,3174942,8814,129333107
Diamond-Princess,,,2024-06-30,712,699,13,
Djibouti,Africa,1016097,2024-06-30,15690,15427,189,305941
Dominica,North-America,72344,2024-06-30,16038,15964,74,229344
Dominican-Republic,North-America,11056370,2024-06-30,675890,671316,4384,3740928
Ecuador,South-America,18113361,2024-06-30,1070188,1034145,36043,3082403
Egypt,Africa,106156692,2024-06-30,516023,442182,24613,3693367
El-Salvador,North-America,6550389,2024-06-30,201855,179410,4230,2610114
Equatorial-Guinea,Africa,1496662,2024-06-30,17229,16907,183,365697
Eritrea,Africa,3662244,2024-06-30,10189,10086,103,23693
Estonia,Europe,1321910,2024-06-30,628070,,3001,6968103
Eswatini,Africa,1184817,2024-06-30,75191,73116,1427,1048704
Ethiopia,Africa,120812698,2024-06-30,501157,488171,7574,5565340
Faeroe-Islands,Europe,49233,2024-06-30,34658,,28,778000
Falkland-Islands,South-America,3539,2024-06-30,1930,1930,,8632
Fiji,Oceania,909466,2024-06-30,69117,67226,885,672883
Finland,Europe,5554960,2024-06-30,1516117,1503989,11958,12108977
France,Europe,65584518,2024-06-30,40138560,39970918,167642,271490188
French-Guiana,South-America,314169,2024-06-30,98041,11254,420,651257
French-Polynesia,Oceania,284164,2024-06-30,79254,,650,
Gabon,Africa,2331533,2024-06-30,49051,48674,307,1621909
Gambia,Africa,2558482,2024-06-30,12626,12189,372,155686
Georgia,Asia,3968738,2024-06-30,1861665,,17132,16920079
Germany,Europe,83883596,2024-06-30,38828995,38240600,183027,122332384
Ghana,Africa,32395450,2024-06-30,171889,170425,1462,2541625
Gibraltar,Europe,33704,2024-06-30,20550,,113,534283
Greece,Europe,10316637,2024-06-30,6101379,,37869,102228365
Greenland,North-America,56973,2024-06-30,11971,2761,21,164926
Grenada,North-America,113475,2024-06-30,19693,19358,238,182981
Guadeloupe,North-America,399794,2024-06-30,203235,,1021,938039
Guatemala,North-America,18584039,2024-06-30,1291293,1269891,20289,7593848
Guinea,Africa,13865691,2024-06-30,38572,37757,468,660107
Guinea-Bissau,Africa,2063367,2024-06-30,9614,8929,177,145231
Guyana,South-America,794045,2024-06-30,74137,72013,1300,733218
Haiti,North-America,11680283,2024-06-30,34667,33734,860,132422
Honduras,North-America,10221247,2024-06-30,474590,,11165,1660662
Hong-Kong,Asia,7604299,2024-06-30,2937609,2916005,14924,76127725
Hungary,Europe,9606259,2024-06-30,2230232,2152155,49048,11394556
Iceland,Europe,345393,2024-06-30,209906,,229,1996384
India,Asia,1406631776,2024-06-30,45035393,,533570,935879495
Indonesia,Asia,279134505,2024-06-30,6829221,6647104,162063,114158919
Iran,Asia,86022837,2024-06-30,7627186,,146811,57320267
Iraq,Asia,42164965,2024-06-30,2465545,2439497,25375,19544451
Ireland,Europe,5020199,2024-06-30,1734582,1724921,9491,13083449
Isle-of-Man,Europe,85732,2024-06-30,38008,,116,150753
Israel,Asia,9326000,2024-06-30,4841772,4798473,12707,41373364
Italy,Europe,60262770,2024-06-30,26723249,26361218,196487,281126449
Ivory-Coast,Africa,27742298,2024-06-30,88384,87497,835,1690934
Jamaica,North-America,2985094,2024-06-30,156869,,3756,1183986
Japan,Asia,125584838,2024-06-30,33803572,,74694,100414883
Jordan,Asia,10300869,2024-06-30,1746997,1731007,14122,17201885
Kazakhstan,Asia,19205043,2024-06-30,1411831,1383020,13848,11575012
Kenya,Africa,56215221,2024-06-30,344130,337309,5689,3967062
Kiribati,Oceania,123419,2024-06-30,5085,2703,24,
Kuwait,Asia,4380326,2024-06-30,667158,,2570,8455743
Kyrgyzstan,Asia,6728271,2024-06-30,206897,196406,2991,1907195
Laos,Asia,7481023,2024-06-30,218970,,758,1233207
Latvia,Europe,1848837,2024-06-30,982505,971406,6715,7885792
Lebanon,Asia,6684849,2024-06-30,1243838,1087587,10952,4795578
Lesotho,Africa,2175699,2024-06-30,36138,25980,723,431221
Liberia,Africa,5305117,2024-06-30,8090,7783,295,139824
Libya,Africa,7040745,2024-06-30,507274,500835,6437,2483848
Liechtenstein,Europe,38387,2024-06-30,21574,,94,112457
Lithuania,Europe,2661708,2024-06-30,1397806,1387478,9897,10540357
Luxembourg,Europe,642371,2024-06-30,391232,,1232,4587145
MS-Zaandam,,,2024-06-30,9,7,2,
Macao,Asia,667490,2024-06-30,27673,3487,123,7850
Madagascar,Africa,29178077,2024-06-30,68486,66862,1426,531329
Malawi,Africa,20180839,2024-06-30,89535,,2686,624784
Malaysia,Asia,33181072,2024-06-30,5278406,5233268,37348,68580916
Maldives,Asia,540985,2024-06-30,186694,163687,316,2213831
Mali,Africa,21473764,2024-06-30,33164,32332,743,804909
Malta,Europe,444033,2024-06-30,121420,120149,885,2170600
Marshall-Islands,Oceania,60057,2024-06-30,16138,16121,17,
Martinique,North-America,374087,2024-06-30,230354,,1102,828928
