Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,130.53,132.52,130.21,131.23,131.09,75823408
2021-01-05,131.45,133.05,129.3,130.96,130.94,72798364
2021-01-06,131.72,134.99,131.24,132.55,132.29,60118810
2021-01-07,136.33,138.61,135.35,136.3,136.12,62995077
2021-01-08,135.78,138.23,134.61,135.79,135.71,83484773
2021-01-11,136.31,136.47,132.52,135.28,135.12,64092679
2021-01-12,139.7,140.57,136.18,139.24,139.21,179407681
2021-01-13,141.22,143.63,140.05,141.24,140.97,69504952
2021-01-14,140.92,142.7,137.09,140.12,140.07,59326932
2021-01-15,142.93,143.09,138.5,141.55,141.37,68545725
2021-01-18,140.99,143.85,137.72,140.44,140.37,39767958
2021-01-19,139.34,142.07,138.7,139.33,139.13,81627750
2021-01-20,138.72,141.99,136.28,140.0,139.79,135231937
2021-01-21,134.32,135.68,131.14,135.32,135.14,59974713
2021-01-22,130.97,133.79,128.69,131.25,131.09,77724431
2021-01-25,129.43,131.93,128.27,129.98,129.75,181061718
2021-01-26,127.53,130.22,125.87,127.69,127.67,100178692
2021-01-27,128.53,130.97,126.36,128.47,128.39,65006367
2021-01-28,126.92,129.49,124.77,126.45,126.39,42248396
2021-01-29,123.27,124.99,122.79,123.33,123.09,75438683
2021-02-01,127.12,127.67,125.61,126.68,126.59,72567072
2021-02-02,126.28,128.44,123.67,126.23,126.04,63542479
2021-02-03,124.69,128.45,121.99,126.44,126.26,67431471
2021-02-04,122.48,125.61,121.96,123.29,123.24,72873551
2021-02-05,122.02,122.76,119.11,122.14,122.09,77462085
2021-02-08,121.41,123.14,120.33,122.44,122.37,76557489
2021-02-09,120.49,123.19,117.96,119.99,119.89,65860789
2021-02-10,122.15,124.47,118.55,120.86,120.8,208314301
2021-02-11,120.63,123.38,117.16,119.61,119.61,64630510
2021-02-12,118.86,121.32,116.04,119.04,118.83,83785702
2021-02-15,119.04,120.86,116.81,117.81,117.58,58721812
2021-02-16,121.98,124.02,119.22,121.86,121.77,71446687
2021-02-17,121.59,124.6,121.09,121.88,121.8,44427046
2021-02-18,119.12,121.42,116.99,119.64,119.64,63112592
2021-02-19,121.22,123.44,118.94,121.48,121.31,82055191
2021-02-22,118.57,119.45,116.52,118.89,118.69,52407487
2021-02-23,119.53,121.01,118.55,119.39,119.36,63998977
2021-02-24,115.43,117.53,112.77,115.3,115.27,35697325
2021-02-25,112.63,113.48,112.06,112.63,112.45,47724003
2021-02-26,113.43,114.09,112.82,113.08,112.94,51350895
2021-03-01,115.6,116.59,112.56,114.65,114.64,72023001
2021-03-02,115.82,116.6,113.63,115.05,114.91,76849561
2021-03-03,113.67,115.57,111.24,114.87,114.79,68909888
2021-03-04,112.25,115.58,111.11,114.3,114.21,62888863
2021-03-05,112.07,114.63,110.78,111.34,111.17,62950377
2021-03-08,108.91,111.41,106.61,109.96,109.78,85540337
2021-03-09,108.93,109.7,107.39,109.1,109.01,74298056
2021-03-10,110.34,111.56,109.72,111.25,111.04,63751357
2021-03-11,110.58,113.97,108.55,111.99,111.9,100546378
2021-03-12,108.95,110.06,107.1,108.54,108.37,120842525
2021-03-15,109.8,112.08,107.53,109.22,109.12,49387006
2021-03-16,108.08,110.34,106.78,108.52,108.32,81028266
2021-03-17,105.31,109.41,103.11,107.25,107.06,166278539
2021-03-18,108.07,109.3,105.81,108.49,108.47,75713220
2021-03-19,110.87,112.83,108.58,110.57,110.36,72299642
2021-03-22,111.32,113.31,110.93,112.49,112.3,68916094
2021-03-23,110.99,113.61,108.51,110.85,110.68,80298108
2021-03-24,110.28,112.08,108.39,110.29,110.24,86476007
2021-03-25,111.45,112.43,109.03,111.0,110.82,49400498
2021-03-26,113.11,113.95,111.92,113.01,112.82,69482840
2021-03-29,111.33,112.72,108.87,112.09,112.03,37078446
2021-03-30,112.71,114.7,109.71,111.77,111.56,66015303
2021-03-31,109.49,110.3,109.09,109.62,109.6,54366189
2021-04-01,107.31,108.97,106.15,107.33,107.3,76973789
2021-04-02,108.25,109.76,105.84,108.96,108.84,44022844
2021-04-05,111.36,113.59,111.12,111.7,111.57,60645558
2021-04-06,110.92,113.9,108.25,111.61,111.46,91755518
2021-04-07,113.56,115.93,111.59,113.69,113.69,57923429
